"Ano","UF","Pop_Idade_Trab","Pop_Forca_Trab","Pop_Ocup","Pop_Ocup_Trab_Form","Pop_Desoc","Pop_Forca_Trab_Pot","Pop_Subut","Tx_Particp","Nivel_Ocup","Tx_Form","Tx_Desoc","Tx_Compo_Subut","Rend_Med_Trab_Princ","Rend_Med_Todos_Trab","Rend_Hora_Med_Trab_Princ","Rend_Hora_Med_Todos_Trab","Total_1000_Pess_Ocup","Homens","Mulheres","Branca","PretaParda","X14a29","X30a49","X50a59","X60oumais","Sem_Instr_Fund_Incomp","Fund_Comp_Med_Incomp","Med_Comp_Sup_Incomp","Sup_Completo","Ate14h","De15a30h","De31a39h","De40a44h","De45a48h","X49ouMais","Rend_Dom_Percap_Medio","Rend_Dom_Percap_Mediano","Rend_Dom_Percap_Medio_H","Rend_Dom_Percap_Mediano_H","Rend_Dom_Percap_Medio_M","Rend_Dom_Percap_Mediano_M","Rend_Dom_Percap_Medio_Branca","Rend_Dom_Percap_Mediano_Branca","Rend_Dom_Percap_Medio_Parda","Rend_Dom_Percap_Mediano_Parda","Rend_Dom_Percap_Medio_Preta","Rend_Dom_Percap_Mediano_Preta","Rend_Dom_Percap_Medio_PretaParda","Rend_Dom_Percap_Mediano_PretaParda","Total_Pess","Sem_Rend","MaisdeZeroate1quarto","Maisde1quartoate1meio","Maisde1meioate1","Maisde1a2","Maisde2a3","Maisde3a5","Maisde5","Canada_Quebec_Dolar","Canada_Quebec_Euro","Switzerland_Dolar","Switzerland_Euro","China_Dolar","China_Euro","Europe_Dolar","Europe_Euro","United_Kingdom_Dolar","United_Kingdom_Euro","South_Korea_Dolar","South_Korea_Euro","New_Zealand_Dolar","New_Zealand_Euro","USA_California_Dolar","USA_California_Euro"
2012,11,1208,787,742,394,45,44,134,65.1,61.4,53.1,5.7,16.2,1876,1938,11.6,11.6,742,61.7,38.3,32.6,66.9,36,48.5,10.8,4.7,38.4,21.7,30,9.9,6.1,17.2,6.8,38.1,15.9,15.9,1023,671,1049,680,996,665,1264,796,884,621,1037,798,902,631,1628,1,12.6,25.4,31.3,20.6,4.5,2.6,2,NA,NA,NA,NA,NA,NA,8.566947579,6.53,NA,NA,NA,NA,2.245845789,1.711855112,10.09,7.865773715
2012,12,538,326,296,135,30,32,85,60.5,55,45.7,9.1,23.8,1933,2017,12,12,296,59.8,40.2,23,76.5,35.6,48.3,10.9,5.2,37.7,17.1,32.4,12.8,3.8,19.2,7,35,19.5,15.4,891,477,921,487,862,475,1209,572,786,457,859,523,790,459,777,1.5,24.5,27,24.4,13.9,4.7,2.5,1.5,NA,NA,NA,NA,NA,NA,8.566947579,6.53,NA,NA,NA,NA,2.245845789,1.711855112,10.09,7.865773715
2012,13,2489,1566,1414,617,152,105,335,62.9,56.8,43.6,9.7,20,2056,2118,12,12,1414,62.1,37.9,21.1,76.9,35.9,47.1,12.1,4.9,36.7,15.5,38.1,9.7,2.6,19.8,7.6,30.9,20.9,18.2,964,492,979,492,950,491,1672,737,787,463,860,581,789,465,3537,1.4,23.6,27.5,26.1,13.3,3.1,2.6,2.3,NA,NA,NA,NA,NA,NA,8.566947579,6.53,NA,NA,NA,NA,2.245845789,1.711855112,10.09,7.865773715
2012,14,298,193,178,90,15,18,44,64.8,59.7,50.7,8,20.8,2361,2494,15.4,15.4,178,59.7,40.3,23,74.7,37.2,50.3,8.8,3.7,24.2,14.7,44.9,16.2,2.7,25.5,6.1,36.1,14.6,14.9,1190,673,1192,680,1188,668,1888,1098,1012,604,1230,569,1027,602,427,1.5,13.3,25.8,27.6,18.1,6.2,4.6,2.9,NA,NA,NA,NA,NA,NA,8.566947579,6.53,NA,NA,NA,NA,2.245845789,1.711855112,10.09,7.865773715
2012,15,5647,3547,3286,1143,261,403,1036,62.8,58.2,34.8,7.4,26.2,1611,1685,10.1,10.1,3286,61.5,38.5,19.6,79.8,36.8,46.8,11.4,5,44.7,17.9,30.1,7.3,6.9,22.6,7.2,28.9,16.3,18.1,825,487,835,487,815,487,1169,629,734,457,806,513,740,461,7910,0.7,23,29.8,26.3,13.4,3.3,2.1,1.3,NA,NA,NA,NA,NA,NA,8.566947579,6.53,NA,NA,NA,NA,2.245845789,1.711855112,10.09,7.865773715
2012,16,497,325,282,135,43,20,76,65.4,56.7,48,13.3,22.1,1999,2046,12.2,12.2,282,59.1,40.9,17.5,82,34.5,51.2,10.8,3.6,30.4,16.1,40,13.6,3,20.6,7.4,29.5,22.8,16.7,909,509,937,510,882,504,1321,625,816,486,949,554,827,487,721,0.6,19.8,30.8,25.4,14,5.1,3.1,1.2,NA,NA,NA,NA,NA,NA,8.566947579,6.53,NA,NA,NA,NA,2.245845789,1.711855112,10.09,7.865773715
2012,17,1046,646,595,262,51,51,148,61.8,56.9,44.1,7.9,21.2,1801,1838,11,11,595,61.7,38.3,25.2,74,36.4,48.4,10.6,4.5,34.5,17.4,35.8,12.4,4,15.9,6.6,42,17.6,13.9,912,556,925,578,899,536,1399,813,772,508,730,495,768,508,1436,0.7,17.3,29.2,29.3,15.1,3.8,3.2,1.4,NA,NA,NA,NA,NA,NA,8.566947579,6.53,NA,NA,NA,NA,2.245845789,1.711855112,10.09,7.865773715
2012,21,4841,2718,2504,830,215,256,723,56.2,51.7,33.1,7.9,24.3,1164,1211,7.9,7.9,2504,61.8,38.2,19.3,80.3,37.2,45.8,11.7,5.2,45.5,17.5,30.6,6.5,6.2,25.3,7.7,32.4,16,12.4,584,391,585,389,584,392,779,476,536,374,551,385,537,374,6764,1.3,31.2,31,24.7,8.9,1.5,1,0.5,NA,NA,NA,NA,NA,NA,8.566947579,6.53,NA,NA,NA,NA,2.245845789,1.711855112,10.09,7.865773715
2012,22,2466,1416,1331,470,85,224,524,57.4,54,35.3,6,31.9,1188,1270,8.1,8.2,1331,58.7,41.3,21.4,78.6,33.6,47,13.1,6.2,48,16.2,26.6,9.2,8.8,24.6,7.6,34.3,11.5,13.2,720,482,725,481,716,482,879,540,680,466,656,504,678,471,3207,0.3,24.9,28.9,29.5,11.8,2.2,1.4,0.9,NA,NA,NA,NA,NA,NA,8.566947579,6.53,NA,NA,NA,NA,2.245845789,1.711855112,10.09,7.865773715
2012,23,6654,3686,3397,1384,289,473,1141,55.4,51.1,40.7,7.8,27.4,1496,1527,9.4,9.4,3397,59.8,40.2,30,69.6,35.6,46.7,11.8,5.9,40,17.9,32.7,9.4,5.9,18.9,6.5,35.6,17.2,15.9,811,479,802,475,820,482,1091,600,690,429,665,443,689,431,8716,0.7,24.9,29.5,27.2,11,2.8,2.5,1.4,NA,NA,NA,NA,NA,NA,8.566947579,6.53,NA,NA,NA,NA,2.245845789,1.711855112,10.09,7.865773715
2012,24,2533,1443,1287,627,156,162,459,57,50.8,48.7,10.8,28.6,1501,1551,10.2,10.1,1287,61.1,38.9,40.5,59.2,36.6,47.3,10.9,5.1,40.6,16.7,33.2,9.4,7.4,21,7,35,15.2,14.4,831,522,843,527,819,520,1009,603,707,488,700,503,707,489,3299,0.5,19.6,30,30.7,13.5,2.7,1.8,1.3,NA,NA,NA,NA,NA,NA,8.566947579,6.53,NA,NA,NA,NA,2.245845789,1.711855112,10.09,7.865773715
2012,25,2954,1656,1497,595,159,212,590,56.1,50.7,39.8,9.6,31.6,1334,1402,9,9,1497,61.1,38.9,33.1,65.9,33.1,47.8,13,6.1,48.2,13.6,28.5,9.6,6.8,22.5,7.2,30.5,15.8,17.2,787,486,780,477,793,494,1004,589,672,450,732,482,676,451,3850,0.8,23.4,29,28.7,12.7,2.3,1.6,1.4,NA,NA,NA,NA,NA,NA,8.566947579,6.53,NA,NA,NA,NA,2.245845789,1.711855112,10.09,7.865773715
2012,26,6924,3842,3486,1661,356,347,1004,55.5,50.4,47.6,9.3,24,1780,1830,11.2,11.2,3486,60.3,39.7,34.9,64.5,33.3,47.9,13.4,5.4,40.3,15,32.7,12.1,4.5,20.8,7.2,33.8,17.6,16,920,487,903,488,936,487,1340,644,702,430,793,499,710,437,9060,1.2,21.6,30.4,26.8,12,3.1,2.4,2.4,NA,NA,NA,NA,NA,NA,8.566947579,6.53,NA,NA,NA,NA,2.245845789,1.711855112,10.09,7.865773715
2012,27,2400,1245,1103,578,142,129,344,51.9,46,52.4,11.4,25,1409,1430,9.2,9.2,1103,63.4,36.6,23.7,75.8,34.4,49.9,11.6,4.1,46,16.4,28.2,9.4,4.2,20.5,6.2,37.4,19.1,12.6,686,449,682,445,689,453,898,501,613,424,684,469,617,425,3221,1.6,24,33.7,26.2,10.1,2.4,1.2,0.8,NA,NA,NA,NA,NA,NA,8.566947579,6.53,NA,NA,NA,NA,2.245845789,1.711855112,10.09,7.865773715
2012,28,1639,1001,897,397,103,115,339,61,54.7,44.3,10.3,30.4,1632,1719,11,11.1,897,60.2,39.8,25.5,74.2,35,47.5,13,4.6,44.8,14.8,29.9,10.5,7,25.4,7.5,29.1,13.9,17.2,950,496,969,499,932,490,1319,656,817,466,857,519,821,471,2149,1.3,20.9,29.7,26.8,11.4,4.2,3.1,2.4,NA,NA,NA,NA,NA,NA,8.566947579,6.53,NA,NA,NA,NA,2.245845789,1.711855112,10.09,7.865773715
2012,29,11029,6888,6105,2449,782,761,2497,62.5,55.4,40.1,11.4,32.6,1438,1516,9.6,9.7,6105,59.2,40.8,19.8,79.5,33.6,48.2,12.7,5.5,43.7,14.7,33,8.6,7.8,19.7,6.4,34.8,15.8,15.5,854,477,858,481,850,470,1198,570,753,448,821,507,768,461,14410,1.1,24.2,29.1,26.9,11.7,3.3,1.8,2,NA,NA,NA,NA,NA,NA,8.566947579,6.53,NA,NA,NA,NA,2.245845789,1.711855112,10.09,7.865773715
2012,31,16082,10297,9602,5751,695,530,1924,64,59.7,59.9,6.7,17.8,1916,2010,11.9,11.9,9602,58.3,41.7,45.2,54.4,33,47.5,13.9,5.6,37.1,17.4,32.8,12.6,4.1,15.1,6,39.7,17.9,17.2,1240,809,1260,828,1220,795,1604,974,963,678,876,674,950,678,20213,0.8,9.1,20.6,33.7,23.7,6.1,3.3,2.6,NA,NA,NA,NA,NA,NA,8.566947579,6.53,NA,NA,NA,NA,2.245845789,1.711855112,10.09,7.865773715
