"UF","Ano","Mes","Qtde_Focos","Canada_Quebec_Dolar","Canada_Quebec_Euro","Switzerland_Dolar","Switzerland_Euro","China_Dolar","China_Euro","Europe_Dolar","Europe_Euro","United_Kingdom_Dolar","United_Kingdom_Euro","South_Korea_Dolar","South_Korea_Euro","New_Zealand_Dolar","New_Zealand_Euro","USA_California_Dolar","USA_California_Euro"
11,2008,3,2,NA,NA,NA,NA,NA,NA,33.49071726,21.57,NA,NA,NA,NA,NA,NA,NA,NA
12,2008,3,1,NA,NA,NA,NA,NA,NA,33.49071726,21.57,NA,NA,NA,NA,NA,NA,NA,NA
13,2008,3,25,NA,NA,NA,NA,NA,NA,33.49071726,21.57,NA,NA,NA,NA,NA,NA,NA,NA
14,2008,3,702,NA,NA,NA,NA,NA,NA,33.49071726,21.57,NA,NA,NA,NA,NA,NA,NA,NA
15,2008,3,11,NA,NA,NA,NA,NA,NA,33.49071726,21.57,NA,NA,NA,NA,NA,NA,NA,NA
16,2008,3,2,NA,NA,NA,NA,NA,NA,33.49071726,21.57,NA,NA,NA,NA,NA,NA,NA,NA
17,2008,3,4,NA,NA,NA,NA,NA,NA,33.49071726,21.57,NA,NA,NA,NA,NA,NA,NA,NA
21,2008,3,6,NA,NA,NA,NA,NA,NA,33.49071726,21.57,NA,NA,NA,NA,NA,NA,NA,NA
22,2008,3,5,NA,NA,NA,NA,NA,NA,33.49071726,21.57,NA,NA,NA,NA,NA,NA,NA,NA
23,2008,3,0,NA,NA,NA,NA,NA,NA,33.49071726,21.57,NA,NA,NA,NA,NA,NA,NA,NA
24,2008,3,5,NA,NA,NA,NA,NA,NA,33.49071726,21.57,NA,NA,NA,NA,NA,NA,NA,NA
25,2008,3,6,NA,NA,NA,NA,NA,NA,33.49071726,21.57,NA,NA,NA,NA,NA,NA,NA,NA
26,2008,3,34,NA,NA,NA,NA,NA,NA,33.49071726,21.57,NA,NA,NA,NA,NA,NA,NA,NA
27,2008,3,47,NA,NA,NA,NA,NA,NA,33.49071726,21.57,NA,NA,NA,NA,NA,NA,NA,NA
28,2008,3,51,NA,NA,NA,NA,NA,NA,33.49071726,21.57,NA,NA,NA,NA,NA,NA,NA,NA
29,2008,3,201,NA,NA,NA,NA,NA,NA,33.49071726,21.57,NA,NA,NA,NA,NA,NA,NA,NA
31,2008,3,113,NA,NA,NA,NA,NA,NA,33.49071726,21.57,NA,NA,NA,NA,NA,NA,NA,NA
32,2008,3,7,NA,NA,NA,NA,NA,NA,33.49071726,21.57,NA,NA,NA,NA,NA,NA,NA,NA
33,2008,3,4,NA,NA,NA,NA,NA,NA,33.49071726,21.57,NA,NA,NA,NA,NA,NA,NA,NA
35,2008,3,110,NA,NA,NA,NA,NA,NA,33.49071726,21.57,NA,NA,NA,NA,NA,NA,NA,NA
41,2008,3,69,NA,NA,NA,NA,NA,NA,33.49071726,21.57,NA,NA,NA,NA,NA,NA,NA,NA
42,2008,3,32,NA,NA,NA,NA,NA,NA,33.49071726,21.57,NA,NA,NA,NA,NA,NA,NA,NA
43,2008,3,70,NA,NA,NA,NA,NA,NA,33.49071726,21.57,NA,NA,NA,NA,NA,NA,NA,NA
