"UF","Ano","Mes","Dia","Area_Km","Canada_Quebec_Dolar","Canada_Quebec_Euro","Switzerland_Dolar","Switzerland_Euro","China_Dolar","China_Euro","Europe_Dolar","Europe_Euro","United_Kingdom_Dolar","United_Kingdom_Euro","South_Korea_Dolar","South_Korea_Euro","New_Zealand_Dolar","New_Zealand_Euro","USA_California_Dolar","USA_California_Euro"
13,2008,4,1,0.38038576,NA,NA,NA,NA,NA,NA,34.682601,22.02,NA,NA,NA,NA,NA,NA,NA,NA
14,2008,4,7,84.4581400152,NA,NA,NA,NA,NA,NA,36.6199125,23.25,NA,NA,NA,NA,NA,NA,NA,NA
51,2008,5,1,14.1315745152,NA,NA,NA,NA,NA,NA,37.5649425,23.85,NA,NA,NA,NA,NA,NA,NA,NA
13,2008,5,12,0.4936476538,NA,NA,NA,NA,NA,NA,38.410233,24.69,NA,NA,NA,NA,NA,NA,NA,NA
51,2008,5,22,71.7010349455,NA,NA,NA,NA,NA,NA,39.592565,25.45,NA,NA,NA,NA,NA,NA,NA,NA
15,2008,5,24,8.6481321961,NA,NA,NA,NA,NA,NA,39.468109,25.37,NA,NA,NA,NA,NA,NA,NA,NA
51,2008,5,24,103.7304671404,NA,NA,NA,NA,NA,NA,39.468109,25.37,NA,NA,NA,NA,NA,NA,NA,NA
11,2008,6,5,27.7784364457,NA,NA,NA,NA,NA,NA,40.53049752,26.06,NA,NA,NA,NA,NA,NA,NA,NA
51,2008,6,5,121.933681625,NA,NA,NA,NA,NA,NA,40.53049752,26.06,NA,NA,NA,NA,NA,NA,NA,NA
51,2008,6,16,326.4469470803,NA,NA,NA,NA,NA,NA,42.36572343,27.24,NA,NA,NA,NA,NA,NA,NA,NA
51,2008,6,18,190.5789521198,NA,NA,NA,NA,NA,NA,41.89914057,26.94,NA,NA,NA,NA,NA,NA,NA,NA
51,2008,6,25,219.55065707,NA,NA,NA,NA,NA,NA,42.11687924,27.08,NA,NA,NA,NA,NA,NA,NA,NA
15,2008,6,27,228.822324284,NA,NA,NA,NA,NA,NA,43.08115048,27.7,NA,NA,NA,NA,NA,NA,NA,NA
11,2008,6,28,68.4192045228,NA,NA,NA,NA,NA,NA,43.08115048,27.7,NA,NA,NA,NA,NA,NA,NA,NA
51,2008,6,28,1.0988549274,NA,NA,NA,NA,NA,NA,43.08115048,27.7,NA,NA,NA,NA,NA,NA,NA,NA
15,2008,6,30,85.4573020495,NA,NA,NA,NA,NA,NA,43.93655238,28.25,NA,NA,NA,NA,NA,NA,NA,NA
51,2008,6,30,38.2003964719,NA,NA,NA,NA,NA,NA,43.93655238,28.25,NA,NA,NA,NA,NA,NA,NA,NA
15,2008,7,2,57.9554793662,NA,NA,NA,NA,NA,NA,42.89357217,27.2,NA,NA,NA,NA,NA,NA,NA,NA
11,2008,7,3,11.2831093639,NA,NA,NA,NA,NA,NA,42.86203278,27.18,NA,NA,NA,NA,NA,NA,NA,NA
13,2008,7,3,29.9185638767,NA,NA,NA,NA,NA,NA,42.86203278,27.18,NA,NA,NA,NA,NA,NA,NA,NA
11,2008,7,5,150.7428590706,NA,NA,NA,NA,NA,NA,42.73587522,27.1,NA,NA,NA,NA,NA,NA,NA,NA
15,2008,7,9,111.7695784731,NA,NA,NA,NA,NA,NA,40.48080874,25.67,NA,NA,NA,NA,NA,NA,NA,NA
51,2008,7,9,33.0601551791,NA,NA,NA,NA,NA,NA,40.48080874,25.67,NA,NA,NA,NA,NA,NA,NA,NA
15,2008,7,13,147.8600198791,NA,NA,NA,NA,NA,NA,42.57817826,27,NA,NA,NA,NA,NA,NA,NA,NA
13,2008,7,23,3.6748487487,NA,NA,NA,NA,NA,NA,38.36766952,24.33,NA,NA,NA,NA,NA,NA,NA,NA
15,2008,7,23,0.2978207451,NA,NA,NA,NA,NA,NA,38.36766952,24.33,NA,NA,NA,NA,NA,NA,NA,NA
12,2008,7,24,0.1519645332,NA,NA,NA,NA,NA,NA,39.04576643,24.76,NA,NA,NA,NA,NA,NA,NA,NA
13,2008,7,24,0.1417807848,NA,NA,NA,NA,NA,NA,39.04576643,24.76,NA,NA,NA,NA,NA,NA,NA,NA
15,2008,7,25,450.4716298696,NA,NA,NA,NA,NA,NA,38.73037252,24.56,NA,NA,NA,NA,NA,NA,NA,NA
11,2008,7,26,14.4199945687,NA,NA,NA,NA,NA,NA,38.73037252,24.56,NA,NA,NA,NA,NA,NA,NA,NA
