"Ano","CodIbge","Latitude","Longitude","AreaKm2","Desmatada","Incremento","Floresta","Nuvem","NaoObservado","NaoFloresta","Hidrografia","Canada_Quebec_Dolar","Canada_Quebec_Euro","Switzerland_Dolar","Switzerland_Euro","China_Dolar","China_Euro","Europe_Dolar","Europe_Euro","United_Kingdom_Dolar","United_Kingdom_Euro","South_Korea_Dolar","South_Korea_Euro","New_Zealand_Dolar","New_Zealand_Euro","USA_California_Dolar","USA_California_Euro"
2008,1300029,-3.67425,-65.34586,6027,310.9,10.5,5162.5,386.5,1.5,38,127.6,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
2008,1300060,-3.42104,-68.34925,4903,110.6,0.1,3490.3,865,1,222.5,213.6,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
2008,1300086,-3.47332,-61.6709,2473,192.9,0.1,1966.4,59.7,0.4,34.6,219,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
2008,1300102,-4.15477,-62.08065,5852,78.6,0.9,4143.9,553.6,0.6,640.6,434.7,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
2008,1300144,-7.59202,-59.44152,54490,1621,70.7,51759.8,264.8,15.2,625,204.2,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
2008,1300201,-5.67098,-71.72825,80005,233.4,1.2,77330.4,1700.6,328.2,16.5,395.9,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
2008,1300300,-3.83163,-59.45109,7636,1203.5,40.9,4936.6,12.7,3,464.3,1015.9,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
2008,1300409,-0.14071,-63.18572,124163,197,1.5,89363.7,12959.5,82.8,17060.1,4499.9,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
2008,1300508,-3.13292,-57.23915,5760,762,7.9,3444.4,186.7,2.2,408.6,956.1,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
2008,1300607,-5.49767,-70.32124,9146,186,0.6,7719.4,1018.4,17.4,0,204.8,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
