"Ano","Mes","Dia","Fator.de.Emissao..tCO2.MWh.","Canada_Quebec_Dolar","Canada_Quebec_Euro","Switzerland_Dolar","Switzerland_Euro","China_Dolar","China_Euro","Europe_Dolar","Europe_Euro","United_Kingdom_Dolar","United_Kingdom_Euro","South_Korea_Dolar","South_Korea_Euro","New_Zealand_Dolar","New_Zealand_Euro","USA_California_Dolar","USA_California_Euro"
2008,3,25,0.6223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,3,26,0.6314,NA,NA,NA,NA,NA,NA,33.97203958,21.88,NA,NA,NA,NA,NA,NA,NA,NA
2008,3,27,0.6221,NA,NA,NA,NA,NA,NA,33.52177032,21.59,NA,NA,NA,NA,NA,NA,NA,NA
2008,3,28,0.5582,NA,NA,NA,NA,NA,NA,32.68333789,21.05,NA,NA,NA,NA,NA,NA,NA,NA
2008,3,29,0.4961,NA,NA,NA,NA,NA,NA,32.68333789,21.05,NA,NA,NA,NA,NA,NA,NA,NA
2008,3,30,0.5213,NA,NA,NA,NA,NA,NA,32.68333789,21.05,NA,NA,NA,NA,NA,NA,NA,NA
2008,3,31,0.5087,NA,NA,NA,NA,NA,NA,33.49071726,21.57,NA,NA,NA,NA,NA,NA,NA,NA
2008,4,1,0.4961,NA,NA,NA,NA,NA,NA,34.682601,22.02,NA,NA,NA,NA,NA,NA,NA,NA
2008,4,2,0.5099,NA,NA,NA,NA,NA,NA,35.28112,22.4,NA,NA,NA,NA,NA,NA,NA,NA
2008,4,3,0.5058,NA,NA,NA,NA,NA,NA,36.3049025,23.05,NA,NA,NA,NA,NA,NA,NA,NA
2008,4,4,0.4521,NA,NA,NA,NA,NA,NA,35.785136,22.72,NA,NA,NA,NA,NA,NA,NA,NA
2008,4,5,0.48,NA,NA,NA,NA,NA,NA,35.785136,22.72,NA,NA,NA,NA,NA,NA,NA,NA
2008,4,6,0.5134,NA,NA,NA,NA,NA,NA,35.785136,22.72,NA,NA,NA,NA,NA,NA,NA,NA
